coding_consistency,assessment_score,project_quality,github_authenticity,defense_score,projects_completed,verified
71,71,79,94,77,1,1
34,72,88,80,67,3,1
91,66,34,72,68,5,1
80,100,80,78,21,1,1
40,84,36,54,33,4,0
94,28,57,70,36,2,0
94,26,95,100,50,0,1
43,83,41,93,29,2,0
22,51,85,90,89,0,0
41,51,34,41,56,1,0
72,96,55,98,83,2,1
21,31,84,43,49,2,0
49,87,94,63,53,2,1
57,70,41,77,37,4,0
21,87,74,90,82,1,1
83,36,61,64,68,6,0
79,37,86,94,75,0,1
40,67,96,88,77,2,1
52,41,53,65,46,1,0
95,87,56,48,74,6,1
77,60,35,71,38,5,0
41,32,30,98,42,4,0
68,93,59,48,66,4,1
78,60,57,68,98,5,1
61,52,42,98,85,1,0
79,71,61,81,70,0,1
99,100,37,41,47,1,0
34,54,98,76,76,1,0
81,47,88,65,77,3,1
81,40,25,92,34,6,0
66,38,87,80,35,4,0
81,98,58,72,66,0,1
70,95,34,63,82,3,1
74,76,31,78,31,5,0
83,61,80,47,62,1,1
22,53,61,90,48,5,0
70,91,53,86,68,4,1
26,39,36,34,22,3,0
40,71,41,53,88,6,0
92,70,72,93,79,3,1
58,76,50,88,85,0,1
37,43,36,67,45,6,0
23,45,45,62,90,1,0
79,88,66,39,93,0,1
33,61,85,66,88,3,1
28,51,82,40,66,6,0
72,79,78,53,95,3,1
21,53,58,100,61,0,0
79,44,31,50,50,3,0
90,49,59,49,41,6,0
63,94,39,39,36,2,0
27,87,89,76,39,4,0
66,60,49,76,27,1,0
54,26,83,44,68,4,0
97,46,30,73,57,1,0
100,40,76,91,72,6,1
55,42,45,35,47,3,0
69,93,95,95,96,6,1
23,78,56,33,48,0,0
21,54,77,52,91,0,0
25,69,83,42,30,3,0
73,43,93,60,66,1,0
23,58,86,45,64,3,0
73,37,28,70,37,1,0
82,67,42,30,69,3,0
37,86,80,41,68,3,0
63,46,48,85,41,3,0
53,76,90,79,64,0,1
93,76,37,49,80,1,1
81,60,86,95,40,5,1
33,97,78,65,90,3,1
67,43,39,67,80,4,0
34,62,93,51,95,4,1
91,94,27,90,55,6,1
97,81,61,79,43,6,1
81,44,61,88,51,0,0
59,33,27,49,78,2,0
99,56,87,65,94,5,1
72,28,59,44,24,0,0
43,74,76,91,35,2,0
45,29,52,32,30,0,0
79,44,42,34,54,6,0
60,99,60,85,94,4,1
48,61,57,60,61,3,0
34,46,88,64,100,1,0
64,82,50,100,29,6,1
84,92,72,99,27,3,1
90,68,64,55,45,4,0
28,58,41,30,22,1,0
20,66,64,36,78,2,0
27,33,31,65,22,2,0
